,estimate,true_parameter,ci_low,ci_high,ci_width,empirical_coverage,desired_coverage,noise,technique,model,iteration,test_error,rectifier,relative_bias
0,238.37962416400862,82.02265329098881,93.62068876352228,383.1385595644949,289.5178708009727,0,0.95,0.6,ppi,xgboost,0,576.320263942959,163.68356032297658,1.9062657034309511
1,400.6275549600457,82.02265329098881,388.48386177377233,412.77124814631907,24.287386372546734,0,0.95,0.6,naive,xgboost,0,576.320263942959,163.68356032297658,3.884352540251944
2,257.06460226609664,82.02265329098881,135.7119717348307,378.41723279736254,242.70526106253183,0,0.95,0.6,classical,xgboost,0,576.320263942959,163.68356032297658,2.134068357361201
3,246.79549717301475,82.02265329098881,136.6050377013778,356.9859566446517,220.3809189432739,0,0.95,0.6,ppi_pp,xgboost,0,576.320263942959,163.68356032297658,2.00886995568733
4,255.11699978715973,82.02265329098881,0.0,473138.50878418365,945766.783568793,1,0.95,0.6,ratio,xgboost,0,576.320263942959,163.68356032297658,2.110323667317739
5,402.4371750985031,82.02265329098881,218.7380535341444,586.1362966628617,367.3982431287173,0,0.95,0.6,ppi,xgboost,1,564.7970971559589,2.6853221529002536,3.906414983563031
6,405.48835747555415,82.02265329098881,393.59032122370087,417.38639372740744,23.79607250370657,0,0.95,0.6,naive,xgboost,1,564.7970971559589,2.6853221529002536,3.943614248090923
7,442.0743798906331,82.02265329098881,226.44404961477025,657.7047101664959,431.26066055172566,0,0.95,0.6,classical,xgboost,1,564.7970971559589,2.6853221529002536,4.389662028150952
8,402.4371750985031,82.02265329098881,218.7380535341444,586.1362966628617,367.3982431287173,0,0.95,0.6,ppi_pp,xgboost,1,564.7970971559589,2.6853221529002536,3.906414983563031
9,430.8747478612149,82.02265329098881,0.0,1493482.865040464,2986103.980585206,1,0.95,0.6,ratio,xgboost,1,564.7970971559589,2.6853221529002536,4.253118871107669
10,240.24543081597514,82.02265329098881,141.48793993749211,339.00292169445817,197.51498175696605,0,0.95,0.6,ppi,xgboost,2,574.9468867507561,172.42488655477933,1.9290131588850836
11,410.7438697158553,82.02265329098881,398.6849902715286,422.802749160182,24.117758888653384,0,0.95,0.6,naive,xgboost,2,574.9468867507561,172.42488655477933,4.00768815974136
12,218.0991042259318,82.02265329098881,137.4848613015531,298.7133471503105,161.22848584875737,0,0.95,0.6,classical,xgboost,2,574.9468867507561,172.42488655477933,1.6590105961604225
13,221.78801259207688,82.02265329098881,146.37304594837244,297.2029792357813,150.82993328740886,0,0.95,0.6,ppi_pp,xgboost,2,574.9468867507561,172.42488655477933,1.7039848589785012
14,217.55993289267397,82.02265329098881,0.0,208896.80371204298,417358.4875583006,1,0.95,0.6,ratio,xgboost,2,574.9468867507561,172.42488655477933,1.6524371519761063
15,500.72753642350494,82.02265329098881,277.98371645952255,723.4713563874873,445.4876399279647,0,0.95,0.6,ppi,xgboost,3,578.276616585482,-116.95796277005728,5.104746875806271
16,385.3036475354216,82.02265329098881,374.0409738281409,396.56632124270226,22.525347414561338,0,0.95,0.6,naive,xgboost,3,578.276616585482,-116.95796277005728,3.6975272327328126
17,538.7110357328182,82.02265329098881,282.02276997656816,795.3993014890683,513.3765315125002,0,0.95,0.6,classical,xgboost,3,578.276616585482,-116.95796277005728,5.567832350188093
18,500.72753642350494,82.02265329098881,277.98371645952255,723.4713563874873,445.4876399279647,0,0.95,0.6,ppi_pp,xgboost,3,578.276616585482,-116.95796277005728,5.104746875806271
19,523.5191595660831,82.02265329098881,0.0,2116287.5530869323,4231528.067854732,1,0.95,0.6,ratio,xgboost,3,578.276616585482,-116.95796277005728,5.382616735267183
20,236.1700000469779,82.02265329098881,137.76572740312272,334.574272690833,196.8085452877103,0,0.95,0.6,ppi,xgboost,4,585.5093992018097,166.4606041740621,1.8793265100694327
21,400.9874844678152,82.02265329098881,389.1956333519301,412.7793355837003,23.58370223177019,0,0.95,0.6,naive,xgboost,4,585.5093992018097,166.4606041740621,3.8887407122182003
22,236.67550914533487,82.02265329098881,147.35390294171964,325.9971153489501,178.64321240723046,0,0.95,0.6,classical,xgboost,4,585.5093992018097,166.4606041740621,1.885489552571406
23,236.37254001956106,82.02265329098881,170.76661676806083,301.9784632710613,131.21184650300046,0,0.95,0.6,ppi_pp,xgboost,4,585.5093992018097,166.4606041740621,1.8817958275623041
24,242.7135952396614,82.02265329098881,0.0,256436.7056279852,512387.9840654911,1,0.95,0.6,ratio,xgboost,4,585.5093992018097,166.4606041740621,1.9591044120286516
25,438.3000073720905,82.02265329098881,237.50813923044612,639.0918755137349,401.5837362832888,0,0.95,0.6,ppi,xgboost,5,586.3393185229212,-32.186218287492075,4.343645807422851
26,405.8812765424425,82.02265329098881,393.6471247269603,418.11542835792466,24.46830363096433,0,0.95,0.6,naive,xgboost,5,586.3393185229212,-32.186218287492075,3.9484046206419596
27,382.63002232685096,82.02265329098881,83.63495512487094,681.625089528831,597.9901344039602,0,0.95,0.6,classical,xgboost,5,586.3393185229212,-32.186218287492075,3.6649310522717204
28,438.3000073720905,82.02265329098881,237.50813923044612,639.0918755137349,401.5837362832888,0,0.95,0.6,ppi_pp,xgboost,5,586.3393185229212,-32.186218287492075,4.343645807422851
29,422.8356815316386,82.02265329098881,0.0,2871092.2778802435,5741338.884397424,1,0.95,0.6,ratio,xgboost,5,586.3393185229212,-32.186218287492075,4.15510855314031
30,426.9509721459285,82.02265329098881,256.5243664984813,597.3775777933757,340.85321129489444,0,0.95,0.6,ppi,xgboost,6,575.5688383540229,-36.8560673212663,4.20528116337873
31,390.7951009506544,82.02265329098881,379.4492406142334,402.14096128707536,22.69172067284194,0,0.95,0.6,naive,xgboost,6,575.5688383540229,-36.8560673212663,3.764477681113834
32,460.81471354987775,82.02265329098881,253.27049359417538,668.3589335055801,415.08843991140475,0,0.95,0.6,classical,xgboost,6,575.5688383540229,-36.8560673212663,4.618139563408928
33,429.8358409549142,82.02265329098881,258.7625750208969,600.9091068889315,342.14653186803463,0,0.95,0.6,ppi_pp,xgboost,6,575.5688383540229,-36.8560673212663,4.240452773820923
34,442.6686818436433,82.02265329098881,0.0,1383615.6836684793,2766346.0299732713,1,0.95,0.6,ratio,xgboost,6,575.5688383540229,-36.8560673212663,4.396907611281526
35,365.022889988101,82.02265329098881,188.26105335464956,541.7847266215524,353.52367326690285,0,0.95,0.6,ppi,xgboost,7,587.485455770528,33.567031898712614,3.4502692285888688
36,398.8954415952194,82.02265329098881,387.33833605589524,410.4525471345435,23.11421107864828,0,0.95,0.6,naive,xgboost,7,587.485455770528,33.567031898712614,3.8632350404475746
37,429.4474124357943,82.02265329098881,248.77974132214857,610.1150835494401,361.33534222729156,0,0.95,0.6,classical,xgboost,7,587.485455770528,33.567031898712614,4.2357171489229835
38,386.06767769719954,82.02265329098881,220.52469699099515,551.6106584034039,331.0859614124088,0,0.95,0.6,ppi_pp,xgboost,7,587.485455770528,33.567031898712614,3.7068421004080556
39,399.799614995778,82.02265329098881,0.0,1048532.37374621,2096265.1482624284,1,0.95,0.6,ratio,xgboost,7,587.485455770528,33.567031898712614,3.8742584999954013
40,289.02004131268706,82.02265329098881,171.54976170716753,406.4903209182066,234.94055921103904,0,0.95,0.6,ppi,xgboost,8,572.6413424476924,115.02322031508537,2.5236612047569476
41,402.81508807640455,82.02265329098881,390.669211470694,414.9609646821151,24.29175321142111,0,0.95,0.6,naive,xgboost,8,572.6413424476924,115.02322031508537,3.911022405570714
42,279.9977329396144,82.02265329098881,175.93960380814997,384.0558620710789,208.1162582629289,0,0.95,0.6,classical,xgboost,8,572.6413424476924,115.02322031508537,2.413663441808893
43,282.6258111691964,82.02265329098881,188.11865689615848,377.13296544223437,189.01430854607588,0,0.95,0.6,ppi_pp,xgboost,8,572.6413424476924,115.02322031508537,2.4457043247130157
44,277.5899290729628,82.02265329098881,0.0,347979.8871465555,695404.5944349652,1,0.95,0.6,ratio,xgboost,8,572.6413424476924,115.02322031508537,2.384308089719641
45,283.96787887238713,82.02265329098881,131.2251221934906,436.71063555128364,305.485513357793,0,0.95,0.6,ppi,xgboost,9,581.4060585807193,109.6267617833063,2.4620664838159345
46,393.2164459547878,82.02265329098881,381.9363940523864,404.4964978571892,22.560103804802793,0,0.95,0.6,naive,xgboost,9,581.4060585807193,109.6267617833063,3.79399812341827
47,355.39697586422716,82.02265329098881,152.74401463794604,558.0499370905083,405.3059224525622,0,0.95,0.6,classical,xgboost,9,581.4060585807193,109.6267617833063,3.332912452897593
48,283.96787887238713,82.02265329098881,131.2251221934906,436.71063555128364,305.485513357793,0,0.95,0.6,ppi_pp,xgboost,9,581.4060585807193,109.6267617833063,2.4620664838159345
49,344.1666049217829,82.02265329098881,0.0,1319090.1277480405,2637491.9222862376,1,0.95,0.6,ratio,xgboost,9,581.4060585807193,109.6267617833063,3.1959945345927228
